params.scoring_method,dataset,selected_ensemble_accuracy,kne_test_acc,bagging_test_acc,ola_test_acc,mcb_test_acc,desp_test_acc,knorau_test_acc,best,is_method_best,difference_method_to_best
diversity,movement_libras,0.4855050505050505,0.7455050505050504,0.5307575757575758,0.6634343434343435,0.695959595959596,0.6098484848484849,0.6620707070707071,0.7455050505050504,False,-0.25999999999999995
diversity,mushroom,0.9569969718445976,0.9973197603247214,0.9449487790735134,0.9939340248695316,0.9935732233747825,0.9894175633013337,0.988106436440951,0.9973197603247214,False,-0.04032278848012372
diversity,newthyroid,0.9036663653962027,0.9261190274733023,0.8193838698511595,0.9286647628937348,0.9275758624668282,0.8637135751189057,0.8683625950283963,0.9286647628937348,False,-0.024998397497532077
diversity,penbased,0.911605134312558,0.9795338758766706,0.90959706232632,0.968714436945878,0.9634841868466323,0.9416716289532883,0.9609517665740372,0.9795338758766706,False,-0.06792874156411266
diversity,phoneme,0.7734775587107193,0.8644270237534486,0.7539196554740597,0.8563690195814548,0.856224345602584,0.8607126034587174,0.8445124823363166,0.8644270237534486,False,-0.09094946504272927
diversity,pima,0.6610999617737003,0.6759676032110091,0.6584121750764527,0.6963780581039756,0.6988794915902141,0.7171946674311926,0.7209981842507646,0.7209981842507646,False,-0.05989822247706422
diversity,ring,0.7417356806347633,0.7573181254649145,0.7381616662534094,0.7366769154475576,0.7393667245226878,0.7246079841309199,0.7285648400694272,0.7573181254649145,False,-0.015582444830151254
diversity,saheart,0.6506612653401644,0.6119663211406331,0.6555860042098575,0.6215933913181619,0.6243536280233527,0.6306922435362803,0.649013066444259,0.6555860042098575,False,-0.004924738869693024
diversity,satimage,0.7559681546929122,0.8953647130319652,0.7477593556098867,0.8915387117175105,0.8883321376108684,0.8755502283083771,0.8940795975136537,0.8953647130319652,False,-0.13939655833905296
diversity,segment,0.8054807577743357,0.9508018586917669,0.7959537709996425,0.9329083760276421,0.9340561579093689,0.8946717502680805,0.9196084038285873,0.9508018586917669,False,-0.14532110091743122
diversity,shuttle,0.9232315927876013,0.9906317898433641,0.9210005105029565,0.9895712771848906,0.989842436691958,0.9836282334241123,0.9893223668289934,0.9906317898433641,False,-0.06740019705576283
diversity,sonar,0.7548076923076924,0.8033831908831909,0.749002849002849,0.7919337606837606,0.778062678062678,0.7625,0.7839565527065527,0.8033831908831909,False,-0.04857549857549848
